GLOBEX_symbol,Start_month,Start_day,End_month,End_day
MGCG,11,01,01,25
MGCJ,01,01,03,25
MGCM,03,01,05,25
MGCQ,05,01,07,25
MGCV,07,01,09,25
MGCZ,08,01,11,25
GCG,11,01,01,25
GCJ,01,01,03,25
GCM,03,01,05,25
GCQ,05,01,07,25
GCV,07,01,09,25
GCZ,08,01,11,25
HGH,11,01,03,01
HGK,02,01,05,01
HGN,04,01,07,01
HGU,06,01,09,01
HGZ,08,01,12,01
SIH,11,01,03,01
SIK,02,01,05,01
SIN,04,01,07,01
SIU,06,01,09,01
SIZ,08,01,12,01
